Shift shiftarea shiftellipticity  ARL  Std  Q1  Med  Q3  Max
 1.200 0.050 0.150    12.4528     0.1387     6.0000    10.0000    16.0000   150.0000     0.0000
 1.200 0.050 0.100    13.1020     0.1429     6.0000    10.0000    17.0000    88.0000     0.0000
 1.200 0.050 0.050    13.7420     0.1549     6.0000    11.0000    18.0000    99.0000     0.0000
 1.200 0.040 1.000    13.3876     0.1438     6.0000    11.0000    18.0000   106.0000     0.0000
 1.200 0.040 0.950    13.4062     0.1486     6.0000    11.0000    18.0000   134.0000     0.0000
 1.200 0.040 0.900    13.6216     0.1508     6.0000    11.0000    18.0000    95.0000     0.0000
 1.200 0.040 0.850    13.6586     0.1493     6.0000    11.0000    18.0000    95.0000     0.0000
 1.200 0.040 0.800    13.6800     0.1518     6.0000    11.0000    18.0000   111.0000     0.0000
 1.200 0.040 0.750    13.6374     0.1495     6.0000    11.0000    18.0000   111.0000     0.0000
 1.200 0.040 0.700    13.5408     0.1505     6.0000    11.0000    18.0000   153.0000     0.0000
 1.200 0.040 0.650    13.5718     0.1458     6.0000    11.0000    18.0000   117.0000     0.0000
 1.200 0.040 0.600    13.3900     0.1451     6.0000    11.0000    18.0000    87.0000     0.0000
 1.200 0.040 0.550    13.4932     0.1484     6.0000    11.0000    18.0000   174.0000     0.0000
 1.200 0.040 0.500    13.6654     0.1571     6.0000    11.0000    18.0000   160.0000     0.0000
 1.200 0.040 0.450    13.5720     0.1514     6.0000    11.0000    18.0000    94.0000     0.0000
 1.200 0.040 0.400    13.5486     0.1525     6.0000    11.0000    18.0000   118.0000     0.0000
 1.200 0.040 0.350    13.6574     0.1511     6.0000    11.0000    18.0000    95.0000     0.0000
 1.200 0.040 0.300    13.7580     0.1501     6.0000    11.0000    18.0000   106.0000     0.0000
 1.200 0.040 0.250    14.0872     0.1546     6.0000    11.0000    19.0000   102.0000     0.0000
 1.200 0.040 0.200    14.1458     0.1635     6.0000    11.0000    18.0000   141.0000     0.0000
 1.200 0.040 0.150    14.6626     0.1637     7.0000    12.0000    19.0000   106.0000     0.0000
 1.200 0.040 0.100    14.9286     0.1692     7.0000    12.0000    20.0000   150.0000     0.0000
 1.200 0.040 0.050    15.7528     0.1845     7.0000    12.0000    21.0000   170.0000     0.0000
 1.200 0.030 1.000    16.2984     0.1823     7.0000    13.0000    22.0000   116.0000     0.0000
 1.200 0.030 0.950    16.0044     0.1844     7.0000    12.0000    21.0000   112.0000     0.0000
 1.200 0.030 0.900    16.2172     0.1858     7.0000    13.0000    21.0000   158.0000     0.0000
 1.200 0.030 0.850    16.5554     0.1874     7.0000    13.0000    22.0000   172.0000     0.0000
 1.200 0.030 0.800    16.1100     0.1848     7.0000    13.0000    21.0000   135.0000     0.0000
 1.200 0.030 0.750    16.4394     0.1868     7.0000    13.0000    21.0000   128.0000     0.0000
 1.200 0.030 0.700    16.4668     0.1856     7.0000    13.0000    22.0000   107.0000     0.0000
 1.200 0.030 0.650    16.5248     0.1923     7.0000    13.0000    22.0000   149.0000     0.0000
 1.200 0.030 0.600    16.2572     0.1811     7.0000    13.0000    22.0000   102.0000     0.0000
 1.200 0.030 0.550    16.2056     0.1791     7.0000    13.0000    22.0000   121.0000     0.0000
 1.200 0.030 0.500    16.4060     0.1893     7.0000    13.0000    21.0000   127.0000     0.0000
 1.200 0.030 0.450    16.4034     0.1879     7.0000    13.0000    22.0000   124.0000     0.0000
 1.200 0.030 0.400    16.5406     0.1880     7.0000    13.0000    22.0000   137.0000     0.0000
 1.200 0.030 0.350    16.8204     0.1944     7.0000    13.0000    22.0000   153.0000     0.0000
 1.200 0.030 0.300    16.7972     0.1967     7.0000    13.0000    22.0000   154.0000     0.0000
 1.200 0.030 0.250    16.8414     0.1967     7.0000    13.0000    23.0000   212.0000     0.0000
 1.200 0.030 0.200    16.9246     0.1926     7.0000    13.0000    22.0000   121.0000     0.0000
 1.200 0.030 0.150    17.4908     0.2067     7.0000    14.0000    23.0000   218.0000     0.0000
 1.200 0.030 0.100    18.3730     0.2233     8.0000    14.0000    24.0000   164.0000     0.0000
 1.200 0.030 0.050    19.0284     0.2399     8.0000    14.0000    25.0000   183.0000     0.0000
 1.200 0.020 1.000    21.4364     0.2595     9.0000    16.0000    28.0000   200.0000     0.0000
 1.200 0.020 0.950    22.0550     0.2566     9.0000    17.0000    29.0000   173.0000     0.0000
 1.200 0.020 0.900    21.5400     0.2571     9.0000    17.0000    28.0000   162.0000     0.0000
 1.200 0.020 0.850    21.6648     0.2584     9.0000    16.0000    29.0000   181.0000     0.0000
 1.200 0.020 0.800    21.8898     0.2589     9.0000    17.0000    29.0000   176.0000     0.0000
 1.200 0.020 0.750    21.2078     0.2565     9.0000    16.0000    28.0000   211.0000     0.0000
 1.200 0.020 0.700    21.4626     0.2544     9.0000    16.0000    29.0000   156.0000     0.0000
 1.200 0.020 0.650    21.3232     0.2524     9.0000    17.0000    28.0000   218.0000     0.0000
 1.200 0.020 0.600    21.8894     0.2662     9.0000    17.0000    29.0000   209.0000     0.0000
 1.200 0.020 0.550    21.9156     0.2496     9.0000    17.0000    30.0000   181.0000     0.0000
 1.200 0.020 0.500    21.5084     0.2543     9.0000    17.0000    29.0000   194.0000     0.0000
 1.200 0.020 0.450    21.9972     0.2682     9.0000    17.0000    29.0000   182.0000     0.0000
 1.200 0.020 0.400    21.7618     0.2665     9.0000    16.0000    29.0000   195.0000     0.0000
 1.200 0.020 0.350    21.8742     0.2615     9.0000    17.0000    29.0000   171.0000     0.0000
 1.200 0.020 0.300    22.4470     0.2738     9.0000    17.0000    30.0000   176.0000     0.0000
 1.200 0.020 0.250    22.0078     0.2701     9.0000    17.0000    29.0000   198.0000     0.0000
 1.200 0.020 0.200    22.9506     0.2804     9.0000    18.0000    30.0000   274.0000     0.0000
 1.200 0.020 0.150    23.5680     0.2886    10.0000    18.0000    31.0000   223.0000     0.0000
 1.200 0.020 0.100    24.2138     0.3026     9.0000    18.0000    32.0000   261.0000     0.0000
 1.200 0.020 0.050    25.5230     0.3304    10.0000    19.0000    34.0000   238.0000     0.0000
 1.200 0.010 1.000    35.3584     0.4687    13.0000    26.0000    47.0000   396.0000     0.0000
 1.200 0.010 0.950    35.3110     0.4505    13.0000    27.0000    48.0000   308.0000     0.0000
 1.200 0.010 0.900    35.3624     0.4547    13.0000    26.0000    47.0000   272.0000     0.0000
 1.200 0.010 0.850    35.2604     0.4458    13.0000    26.0000    48.0000   257.0000     0.0000
 1.200 0.010 0.800    35.2800     0.4543    13.0000    26.0000    47.0000   436.0000     0.0000
 1.200 0.010 0.750    34.6230     0.4422    13.0000    26.0000    47.0000   325.0000     0.0000
