Shift shiftarea shift_ratio  ARL  Std  Q1  Med  Q3  Max
 1.600 0.030 0.500    16.7332     0.4016     6.0000    10.0000    17.0000   515.0000     0.0000
 1.600 0.030 0.400    18.9232     0.5101     6.0000    10.0000    18.0000   543.0000     0.0000
 1.600 0.030 0.300    22.9420     0.6382     6.0000    11.0000    20.0000   694.0000     0.0000
 1.600 0.030 0.200    27.3786     0.8192     6.0000    12.0000    23.0000  1025.0000     0.0000
 1.600 0.030 0.100    42.8952     1.2486     7.0000    15.0000    34.0000  1362.0000     0.0000
 1.600 0.020 2.000    14.2392     0.1629     6.0000    11.0000    19.0000   128.0000     0.0000
 1.600 0.020 1.900    14.2064     0.1571     6.0000    12.0000    19.0000   108.0000     0.0000
 1.600 0.020 1.800    14.4540     0.1673     6.0000    11.0000    19.0000   160.0000     0.0000
 1.600 0.020 1.700    14.4328     0.1618     6.0000    11.0000    19.0000   119.0000     0.0000
 1.600 0.020 1.600    14.3200     0.1680     6.0000    11.0000    19.0000   173.0000     0.0000
 1.600 0.020 1.500    14.4000     0.1679     6.0000    11.0000    19.0000   116.0000     0.0000
 1.600 0.020 1.400    14.5370     0.1676     6.0000    11.0000    19.0000   134.0000     0.0000
 1.600 0.020 1.300    14.9146     0.1944     7.0000    12.0000    19.0000   332.0000     0.0000
 1.600 0.020 1.200    14.6780     0.1744     6.0000    12.0000    19.0000   178.0000     0.0000
 1.600 0.020 1.100    15.0856     0.1771     7.0000    12.0000    20.0000   168.0000     0.0000
 1.600 0.020 1.000    15.4996     0.2092     6.0000    12.0000    20.0000   274.0000     0.0000
 1.600 0.020 0.900    15.6284     0.2168     6.0000    12.0000    20.0000   192.0000     0.0000
 1.600 0.020 0.800    16.6400     0.2582     6.0000    12.0000    21.0000   302.0000     0.0000
 1.600 0.020 0.700    17.7646     0.3228     7.0000    12.0000    21.0000   659.0000     0.0000
 1.600 0.020 0.600    18.7862     0.3674     7.0000    13.0000    22.0000   526.0000     0.0000
 1.600 0.020 0.500    21.2554     0.4779     7.0000    13.0000    23.0000   588.0000     0.0000
 1.600 0.020 0.400    22.8288     0.5786     7.0000    13.0000    24.0000   629.0000     0.0000
 1.600 0.020 0.300    26.4470     0.7574     7.0000    14.0000    26.0000   905.0000     0.0000
 1.600 0.020 0.200    32.2670     0.9534     8.0000    15.0000    29.0000   909.0000     0.0000
 1.600 0.020 0.100    40.1436     1.0317     9.0000    18.0000    38.0000   918.0000     0.0000
 1.600 0.010 2.000    23.8684     0.2989     9.0000    18.0000    31.0000   250.0000     0.0000
 1.600 0.010 1.900    24.2260     0.3092    10.0000    18.0000    32.0000   321.0000     0.0000
 1.600 0.010 1.800    23.9562     0.3060    10.0000    18.0000    32.0000   421.0000     0.0000
 1.600 0.010 1.700    24.7742     0.3156     9.0000    18.0000    33.0000   219.0000     0.0000
 1.600 0.010 1.600    23.9856     0.2999    10.0000    18.0000    32.0000   243.0000     0.0000
 1.600 0.010 1.500    24.4316     0.3144     9.0000    18.0000    32.0000   187.0000     0.0000
 1.600 0.010 1.400    24.6020     0.3122     9.0000    18.0000    33.0000   255.0000     0.0000
 1.600 0.010 1.300    24.8398     0.3219     9.0000    18.0000    33.0000   270.0000     0.0000
 1.600 0.010 1.200    24.6794     0.3264     9.0000    18.0000    33.0000   313.0000     0.0000
 1.600 0.010 1.100    25.2032     0.3374    10.0000    18.0000    33.0000   347.0000     0.0000
 1.600 0.010 1.000    26.1080     0.3448    10.0000    19.0000    35.0000   236.0000     0.0000
 1.600 0.010 0.900    26.9328     0.4028    10.0000    19.0000    35.0000   460.0000     0.0000
 1.600 0.010 0.800    27.7214     0.4285    10.0000    19.0000    35.0000   510.0000     0.0000
 1.600 0.010 0.700    29.1924     0.4919     9.0000    19.0000    37.0000   545.0000     0.0000
 1.600 0.010 0.600    29.8072     0.5067    10.0000    20.0000    37.0000   774.0000     0.0000
 1.600 0.010 0.500    33.0364     0.6468    10.0000    21.0000    39.0000   820.0000     0.0000
 1.600 0.010 0.400    33.2288     0.6955    10.0000    20.0000    39.0000   915.0000     0.0000
 1.600 0.010 0.300    34.2320     0.7150    10.0000    21.0000    39.0000   920.0000     0.0000
 1.600 0.010 0.200    39.4562     0.8868    11.0000    22.0000    45.0000  1079.0000     0.0000
 1.600 0.010 0.100    49.0422     1.1029    12.0000    25.0000    52.0000  1033.0000     0.0000
 1.200 0.050 2.000    11.5862     0.1210     6.0000    10.0000    15.0000    80.0000     0.0000
 1.200 0.050 1.900    11.8364     0.1258     6.0000    10.0000    15.0000   107.0000     0.0000
 1.200 0.050 1.800    11.7816     0.1240     6.0000    10.0000    15.0000    75.0000     0.0000
 1.200 0.050 1.700    11.9082     0.1257     6.0000    10.0000    16.0000    78.0000     0.0000
 1.200 0.050 1.600    11.8628     0.1256     6.0000    10.0000    15.0000   102.0000     0.0000
 1.200 0.050 1.500    11.7444     0.1213     6.0000    10.0000    15.0000    81.0000     0.0000
 1.200 0.050 1.400    11.8106     0.1284     6.0000    10.0000    15.0000   119.0000     0.0000
 1.200 0.050 1.300    12.1420     0.1336     6.0000    10.0000    16.0000   112.0000     0.0000
 1.200 0.050 1.200    12.1094     0.1317     6.0000    10.0000    16.0000    91.0000     0.0000
 1.200 0.050 1.100    12.3252     0.1455     6.0000    10.0000    16.0000   188.0000     0.0000
 1.200 0.050 1.000    12.8908     0.1644     6.0000    10.0000    16.0000   177.0000     0.0000
 1.200 0.050 0.900    13.3342     0.1874     6.0000    10.0000    16.0000   209.0000     0.0000
 1.200 0.050 0.800    13.9636     0.2256     6.0000    10.0000    17.0000   281.0000     0.0000
 1.200 0.050 0.700    14.4946     0.2573     6.0000    10.0000    17.0000   285.0000     0.0000
 1.200 0.050 0.600    16.6062     0.3597     6.0000    11.0000    18.0000   452.0000     0.0000
 1.200 0.050 0.500    18.4132     0.4336     6.0000    11.0000    19.0000   601.0000     0.0000
 1.200 0.050 0.400    21.5460     0.5777     6.0000    11.0000    20.0000   684.0000     0.0000
 1.200 0.050 0.300    25.6460     0.7051     7.0000    13.0000    23.0000   778.0000     0.0000
 1.200 0.050 0.200    36.0800     1.0720     7.0000    14.0000    29.0000  1253.0000     0.0000
 1.200 0.050 0.100    50.5872     1.3449     9.0000    17.0000    45.0000  1362.0000     0.0000
 1.200 0.040 2.000    13.5518     0.1489     6.0000    11.0000    18.0000   120.0000     0.0000
 1.200 0.040 1.900    13.2006     0.1483     6.0000    10.0000    17.0000   150.0000     0.0000
 1.200 0.040 1.800    13.4596     0.1533     6.0000    11.0000    18.0000   122.0000     0.0000
 1.200 0.040 1.700    13.3708     0.1479     6.0000    11.0000    17.0000   139.0000     0.0000
 1.200 0.040 1.600    13.7358     0.1534     6.0000    11.0000    18.0000   107.0000     0.0000
 1.200 0.040 1.500    13.7358     0.1517     6.0000    11.0000    18.0000   123.0000     0.0000
 1.200 0.040 1.400    13.6364     0.1563     6.0000    11.0000    18.0000   164.0000     0.0000
 1.200 0.040 1.300    13.9048     0.1557     6.0000    11.0000    18.0000   155.0000     0.0000
 1.200 0.040 1.200    13.9682     0.1646     6.0000    11.0000    18.0000   139.0000     0.0000
 1.200 0.040 1.100    13.9750     0.1640     6.0000    11.0000    18.0000   177.0000     0.0000
 1.200 0.040 1.000    14.2176     0.1650     6.0000    11.0000    19.0000   119.0000     0.0000
 1.200 0.040 0.900    15.2188     0.2057     7.0000    12.0000    19.0000   241.0000     0.0000
 1.200 0.040 0.800    16.2724     0.3013     6.0000    11.0000    19.0000   581.0000     0.0000
 1.200 0.040 0.700    16.9060     0.3016     7.0000    12.0000    20.0000   389.0000     0.0000
 1.200 0.040 0.600    18.3116     0.3828     7.0000    12.0000    20.0000   577.0000     0.0000
 1.200 0.040 0.500    20.3900     0.5448     7.0000    12.0000    21.0000  1191.0000     0.0000
 1.200 0.040 0.400    22.7014     0.5725     7.0000    13.0000    23.0000   888.0000     0.0000
 1.200 0.040 0.300    27.3630     0.7429     7.0000    13.0000    25.0000   905.0000     0.0000
 1.200 0.040 0.200    35.3894     1.0086     8.0000    15.0000    30.0000  1041.0000     0.0000
